date,open,high,low,close,volume
2021-03-29,118.49,119.39,117.59,118.23,80819200
2021-03-30,116.99,117.27,115.77,116.78,85671900
2021-03-31,118.49,120.31,118.0,118.97,118323800
2021-04-01,120.44,120.95,119.3,119.8,75089100
2021-04-05,120.65,122.88,119.87,122.63,88651200
2021-04-06,123.21,123.82,122.38,122.93,80171300
2021-04-07,122.56,124.59,121.89,124.57,83466700
2021-04-08,125.6,127.0,125.18,126.97,88844600
2021-04-09,126.42,129.58,126.1,129.54,106686700
2021-04-12,129.07,129.4,127.23,127.83,91420000
2021-04-13,129.0,131.16,128.5,130.93,91266500
2021-04-14,131.43,131.49,128.24,128.6,87222800
2021-04-15,130.34,131.49,130.16,131.0,89347100
2021-04-16,130.81,131.17,129.81,130.67,84922400
2021-04-19,130.04,131.95,129.87,131.33,94264200
2021-04-20,131.51,132.01,128.38,129.65,94812300
2021-04-21,128.92,130.27,127.89,130.03,68847100
2021-04-22,129.58,130.66,127.99,128.51,84566500
2021-04-23,128.72,131.61,128.72,130.83,78657500
2021-04-26,131.32,131.55,130.09,131.22,66905100
2021-04-27,131.5,131.89,130.62,130.9,66015800
2021-04-28,130.82,131.51,129.62,130.11,107760100
2021-04-29,132.92,133.51,129.01,130.01,151101000
2021-04-30,128.35,130.09,127.66,128.04,109839500
2021-05-03,128.61,130.58,128.4,129.09,75135100
2021-05-04,127.78,128.07,123.41,124.53,137564700
2021-05-05,125.84,127.06,124.64,124.77,84000900
2021-05-06,124.56,126.38,123.82,126.37,78128300
2021-05-07,127.66,128.06,126.33,127.04,78973300
2021-05-10,126.26,126.39,123.72,123.76,88071200
2021-05-11,120.49,123.2,119.78,122.84,126142800
2021-05-12,120.4,121.61,119.27,119.78,112172300
2021-05-13,121.55,123.08,121.23,121.93,105861300
2021-05-14,123.18,124.78,122.79,124.35,81918000
2021-05-17,123.73,123.84,122.12,123.2,74244600
2021-05-18,123.48,123.9,121.74,121.81,63342900
2021-05-19,120.16,121.88,119.87,121.65,92612000
2021-05-20,122.18,124.61,122.05,124.21,76857100
2021-05-21,124.71,124.88,122.16,122.38,79295400
2021-05-24,122.94,124.82,122.87,124.01,63092900
2021-05-25,124.71,125.2,123.24,123.81,72009500
2021-05-26,123.87,124.29,123.34,123.76,56575900
2021-05-27,123.36,124.53,122.03,122.23,94625600
2021-05-28,122.51,122.74,121.52,121.58,71311100
2021-06-01,122.03,122.3,120.92,121.25,67637100
2021-06-02,121.25,122.19,121.03,122.01,59278900
2021-06-03,121.64,121.81,120.13,120.53,76229200
2021-06-04,121.05,123.09,120.83,122.82,75169300
2021-06-07,123.1,123.24,121.79,122.83,71057600
2021-06-08,123.52,125.33,123.14,123.65,74403800
2021-06-09,124.11,124.64,123.44,124.03,56877900
2021-06-10,123.93,125.07,122.87,123.04,71186400
2021-06-11,123.45,124.34,123.03,124.25,53522400
2021-06-14,124.71,127.36,123.98,127.3,96906500
2021-06-15,126.78,127.42,126.24,126.48,62746300
2021-06-16,127.2,127.7,125.33,126.98,91815000
2021-06-17,126.64,129.32,126.49,128.58,96721700
2021-06-18,127.53,128.31,127.07,127.28,108953300
2021-06-21,127.13,129.19,126.06,129.08,79663300
2021-06-22,128.91,130.82,128.42,130.72,74783600
2021-06-23,130.51,131.05,129.99,130.44,60214200
2021-06-24,131.18,131.36,129.69,130.16,68711000
2021-06-25,130.21,130.63,129.58,129.87,70783700
2021-06-28,130.16,131.96,130.1,131.5,62111300
2021-06-29,131.52,133.17,131.08,133.01,64556100
2021-06-30,132.85,134.06,132.56,133.63,63261400
2021-07-01,133.27,133.99,132.45,133.93,52485800
2021-07-02,134.54,136.59,134.4,136.55,78852600
2021-07-06,136.66,139.66,136.66,138.56,108181800
2021-07-07,140.04,141.36,139.19,141.05,104911600
