date,open,high,low,close,volume
2021-03-29,100.35,101.69,99.52,101.52,26492000
2021-03-30,101.88,102.36,101.04,101.56,27312000
2021-03-31,101.95,103.53,101.58,102.35,42570000
2021-04-01,103.83,105.99,103.79,105.69,39880000
2021-04-05,106.55,110.61,106.46,110.12,48510000
2021-04-06,109.72,110.56,109.26,109.63,35240000
2021-04-07,109.83,111.38,109.83,111.11,24134000
2021-04-08,112.35,112.74,111.31,111.68,28664000
2021-04-09,111.43,112.85,111.02,112.68,26146000
2021-04-12,111.86,112.0,110.56,111.39,25024000
2021-04-13,111.71,112.32,111.31,111.88,25682000
2021-04-14,112.52,112.52,110.96,111.25,21002000
2021-04-15,112.25,113.94,111.71,113.41,29174000
2021-04-16,113.6,113.85,112.69,113.28,26282000
2021-04-19,112.66,114.34,112.66,113.63,30290000
2021-04-20,114.01,114.09,112.01,113.1,22288000
2021-04-21,112.75,113.15,111.4,113.06,23204000
2021-04-22,112.92,113.59,111.18,111.78,24146000
2021-04-23,112.5,114.44,112.21,114.13,29066000
2021-04-26,114.36,115.35,114.0,114.63,32038000
2021-04-27,115.01,115.05,113.45,113.69,44386000
2021-04-28,118.73,120.66,116.78,117.07,81106000
2021-04-29,118.57,119.31,117.8,118.74,41234000
2021-04-30,117.51,118.2,116.45,116.79,44856000
2021-05-03,117.36,118.18,115.9,116.28,28242000
2021-05-04,114.81,115.38,111.99,114.48,44818000
2021-05-05,115.56,115.87,114.55,114.87,26636000
2021-05-06,114.45,115.99,113.79,115.99,25190000
2021-05-07,117.31,117.67,116.43,116.71,28898000
2021-05-10,115.53,115.68,113.37,113.73,30914000
2021-05-11,111.31,113.16,110.86,112.65,34186000
2021-05-12,110.47,111.56,108.86,109.19,46376000
2021-05-13,110.47,111.13,109.51,110.62,33204000
2021-05-14,112.08,113.38,111.66,113.06,31996000
2021-05-17,112.33,113.63,111.93,113.59,21598000
2021-05-18,114.25,114.52,112.26,112.28,22204000
2021-05-19,110.59,112.9,110.44,112.72,23684000
2021-05-20,113.69,114.73,113.32,114.48,32352000
2021-05-21,115.0,115.08,113.61,113.85,40632000
2021-05-24,114.88,117.39,114.73,117.17,31832000
2021-05-25,117.71,118.31,116.87,117.26,22440000
2021-05-26,117.44,118.55,117.44,118.12,21572000
2021-05-27,118.56,118.56,116.93,117.25,35224000
2021-05-28,117.83,117.91,116.76,116.96,21482000
2021-06-01,117.83,118.39,116.83,118.17,23354000
2021-06-02,118.56,118.78,116.74,117.64,21158000
2021-06-03,116.41,116.97,115.6,116.5,18696000
2021-06-04,117.58,119.05,117.23,118.78,24458000
2021-06-07,118.58,119.32,118.16,119.21,24120000
2021-06-08,119.7,120.07,118.84,119.02,24240000
2021-06-09,119.67,119.74,118.95,119.49,17942000
2021-06-10,119.44,120.89,119.29,120.84,25904000
2021-06-11,121.09,121.17,120.04,120.6,21958000
2021-06-14,120.7,121.53,119.99,121.53,22098000
2021-06-15,121.53,121.85,120.15,120.51,21562000
2021-06-16,120.66,120.97,118.57,119.87,26472000
2021-06-17,119.79,121.6,119.6,120.83,25842000
2021-06-18,120.46,120.69,119.11,119.21,46116000
2021-06-21,119.6,121.09,119.0,120.9,27414000
2021-06-22,120.84,121.48,120.16,121.41,22390000
2021-06-23,121.18,122.17,120.92,121.21,19148000
2021-06-24,121.78,122.13,121.38,121.58,21362000
2021-06-25,121.09,121.71,120.65,121.59,34594000
2021-06-28,121.76,121.86,120.5,121.62,28526000
2021-06-29,121.75,122.1,120.78,121.36,23108000
2021-06-30,121.08,121.34,120.44,121.17,24474000
2021-07-01,120.81,121.67,120.62,121.53,18110000
2021-07-02,122.23,124.46,122.14,124.32,25982000
2021-07-06,124.71,125.48,123.65,125.24,26404000
2021-07-07,126.21,126.33,125.21,125.53,24060000
2021-07-08,123.1,124.65,123.09,124.11,23790000
2021-07-09,124.09,124.79,123.62,124.58,18632000
2021-07-12,125.23,126.12,124.67,126.02,17668000
2021-07-13,126.09,127.1,125.72,126.39,19240000
2021-07-14,127.0,128.36,126.96,127.28,23742000
2021-07-15,127.68,127.73,125.58,126.05,24218000
2021-07-16,126.71,126.85,125.21,126.02,20424000
2021-07-19,125.14,125.26,122.58,123.64,27968000
2021-07-20,124.59,126.09,123.42,125.26,26312000
2021-07-21,125.19,126.64,125.08,126.59,20746000
2021-07-22,126.89,127.52,126.54,127.46,14302000
2021-07-23,129.45,132.4,128.83,132.02,41506000
2021-07-26,132.33,133.23,131.31,133.03,30572000
2021-07-27,133.24,133.39,129.13,130.91,54710000
2021-07-28,135.29,137.26,134.26,135.07,95130000
2021-07-29,135.13,135.64,134.53,134.76,31716000
2021-07-30,134.02,134.29,133.25,133.72,25576000
2021-08-02,134.1,134.32,132.79,133.84,21634000
2021-08-03,134.12,134.71,132.32,134.61,20762000
2021-08-04,134.33,134.63,133.48,134.11,19676000
2021-08-05,134.66,135.33,133.83,135.23,17870000
2021-08-06,135.02,135.45,134.2,134.72,20488000
2021-08-09,134.92,136.16,134.32,135.89,17760000
2021-08-10,136.31,136.74,135.34,135.78,19414000
2021-08-11,136.15,136.65,135.25,135.26,15352000
2021-08-12,134.96,136.27,134.41,136.17,16506000
2021-08-13,136.22,136.82,136.01,136.69,15948000
2021-08-16,136.49,137.32,134.28,137.27,22384000
2021-08-17,136.72,137.23,135.06,135.64,21716000
2021-08-18,135.48,136.08,134.31,134.43,19258000
2021-08-19,133.43,135.33,133.24,134.66,21782000
2021-08-20,134.98,136.52,134.24,136.4,31194000
2021-08-23,136.93,139.82,136.58,138.99,28454000
2021-08-24,139.56,141.01,139.29,140.2,19268000
2021-08-25,140.56,141.12,140.32,141.01,15848000
2021-08-26,140.69,141.35,140.3,140.38,20610000
2021-08-27,140.59,143.43,140.44,142.92,28780000
2021-08-30,143.32,144.88,143.08,143.51,24434000
2021-08-31,144.06,144.08,143.2,143.61,22448000
2021-09-01,143.91,145.16,143.8,144.13,21936000
2021-09-02,144.13,144.43,142.11,142.21,32342000
2021-09-03,142.01,143.07,141.33,142.66,19850000
2021-09-07,142.76,143.48,142.54,143.2,20124000
2021-09-08,143.02,143.32,141.93,142.61,18344000
2021-09-09,142.76,143.23,142.1,142.46,15314000
2021-09-10,143.13,143.63,139.68,139.82,36840000
2021-09-13,140.88,141.88,140.19,141.27,22094000
2021-09-14,141.92,142.29,140.69,141.48,19674000
2021-09-15,141.7,143.37,140.29,143.35,27408000
2021-09-16,142.87,143.22,141.33,142.53,26190000
2021-09-17,141.96,142.37,139.42,139.74,53384000
2021-09-20,137.13,137.96,135.3,137.68,46518000
2021-09-21,138.7,138.96,137.24,137.99,25332000
2021-09-22,138.26,139.83,137.51,139.23,25056000
2021-09-23,139.93,140.63,139.35,140.16,20952000
2021-09-24,139.48,141.26,139.19,141.15,22984000
2021-09-27,139.75,140.87,139.02,140.01,21882000
2021-09-28,137.62,138.05,134.34,134.81,45772000
2021-09-29,135.95,136.12,132.86,133.35,30848000
2021-09-30,133.25,134.53,132.55,132.67,37996000
2021-10-01,133.44,135.88,133.07,135.52,35360000
2021-10-04,134.94,134.94,130.07,132.66,51202000
2021-10-05,133.04,136.2,133.04,135.0,32404000
2021-10-06,133.74,136.72,133.54,136.53,24364000
2021-10-07,137.85,138.99,137.61,138.18,25110000
2021-10-08,138.53,139.28,138.17,138.74,26526000
2021-10-11,138.25,139.66,137.82,137.87,17954000
2021-10-12,138.43,138.46,134.74,135.43,36332000
2021-10-13,136.37,136.97,135.5,136.55,19654000
2021-10-14,138.43,140.28,137.78,140.09,31894000
2021-10-15,140.55,140.66,139.7,140.31,30274000
2021-10-18,140.02,141.73,140.01,141.71,20396000
2021-10-19,142.31,142.59,141.53,142.16,20164000
2021-10-20,142.26,142.47,140.32,140.71,23288000
2021-10-21,140.71,141.09,139.45,140.82,26292000
2021-10-22,138.11,139.53,135.04,136.53,50588000
2021-10-25,136.52,136.97,134.41,136.42,34412000
2021-10-26,138.22,139.03,137.27,138.26,49236000
2021-10-27,138.36,147.54,138.36,145.12,85782000
2021-10-28,146.03,146.05,143.54,144.76,36206000
2021-10-29,143.99,147.13,143.56,146.94,43320000
2021-11-01,146.94,146.94,142.15,142.42,46924000
2021-11-02,143.5,145.51,143.25,144.34,33482000
2021-11-03,144.81,145.57,143.51,145.5,27494000
2021-11-04,146.02,148.61,145.21,147.16,38412000
2021-11-05,148.05,149.2,147.09,147.74,38354000
2021-11-08,148.7,149.49,147.32,147.91,23052000
2021-11-09,148.11,148.71,146.14,147.8,19530000
2021-11-10,146.39,146.96,143.45,144.8,29970000
2021-11-11,145.39,146.43,144.51,144.67,16518000
2021-11-12,145.52,147.73,144.32,147.56,22360000
2021-11-15,147.78,148.43,146.47,147.34,23508000
2021-11-16,147.04,147.65,146.21,146.77,18904000
2021-11-17,146.92,147.45,146.14,146.94,19594000
2021-11-18,147.13,149.45,146.78,148.71,35608000
2021-11-19,148.85,149.83,147.78,147.81,33682000
2021-11-22,148.21,148.71,145.05,145.2,30594000
2021-11-23,145.06,145.56,143.03,144.69,27218000
2021-11-24,144.38,145.15,143.29,145.02,18040000
2021-11-26,143.27,143.47,140.78,141.12,30470000
2021-11-29,142.92,145.2,142.81,144.44,32596000
2021-11-30,143.92,144.91,140.54,140.83,42068000
2021-12-01,142.92,144.86,139.86,139.99,34020000
2021-12-02,140.19,142.79,139.16,141.89,29194000
2021-12-03,142.6,143.32,139.25,140.94,41230000
2021-12-06,141.97,142.77,139.1,142.08,30618000
2021-12-07,144.5,146.42,144.14,146.17,32240000
2021-12-08,146.49,147.28,145.31,147.08,24270000
2021-12-09,146.48,147.98,146.01,146.53,23270000
2021-12-10,147.58,147.86,145.6,146.89,24458000
2021-12-13,146.67,146.86,144.43,144.73,27070000
2021-12-14,142.89,143.4,140.16,142.83,38446000
2021-12-15,142.33,145.62,140.62,145.34,36370000
2021-12-16,146.07,146.57,142.53,143.36,33650000
2021-12-17,141.43,142.76,140.24,140.66,50416000
2021-12-20,138.95,140.71,138.28,140.55,27192000
2021-12-21,140.99,142.79,139.45,142.4,28756000
