date,open,high,low,close,volume
2021-03-29,227.02,227.22,222.5,225.73,25227500
2021-03-30,224.09,224.39,221.75,222.47,24792000
2021-03-31,223.49,229.43,222.99,226.24,43623500
2021-04-01,228.83,233.02,228.42,232.55,30338000
2021-04-05,232.94,239.85,232.89,239.0,36910600
2021-04-06,237.6,239.31,236.9,237.84,22931900
2021-04-07,237.79,240.78,237.19,239.79,22719800
2021-04-08,242.55,243.86,241.81,243.01,23625200
2021-04-09,242.64,245.64,242.23,245.5,24326800
2021-04-12,244.41,247.25,244.32,245.56,27148700
2021-04-13,246.86,248.71,246.44,248.04,23837500
2021-04-14,247.07,248.36,244.84,245.25,23070900
2021-04-15,247.5,249.42,247.31,249.01,25627500
2021-04-16,248.98,250.45,247.18,250.2,24878600
2021-04-19,249.67,250.91,247.39,248.28,23209300
2021-04-20,247.39,249.68,246.45,247.82,19722900
2021-04-21,248.47,250.14,246.85,250.04,24030400
2021-04-22,249.69,251.19,245.3,246.77,25606200
2021-04-23,247.45,250.93,246.87,250.59,21462600
2021-04-26,251.08,251.83,249.65,250.97,19763300
2021-04-27,251.0,252.55,249.6,251.38,31014200
2021-04-28,245.72,246.17,242.72,244.27,46903100
2021-04-29,245.13,245.74,238.93,242.3,40589000
2021-04-30,239.64,242.85,239.51,241.98,30945100
2021-05-03,243.15,244.06,240.96,241.67,19626600
2021-05-04,240.82,241.05,235.82,237.77,32756100
2021-05-05,238.99,239.41,235.88,236.5,21901300
2021-05-06,236.48,239.76,234.79,239.63,26491100
2021-05-07,241.95,244.02,241.01,242.25,27032900
2021-05-10,240.72,241.55,237.13,237.18,29299900
2021-05-11,234.66,236.63,232.76,236.27,33641600
2021-05-12,232.38,234.5,228.44,229.33,36684400
2021-05-13,232.02,235.67,231.66,233.2,29624300
2021-05-14,235.65,239.1,235.56,238.11,23901100
2021-05-17,236.58,236.62,233.67,235.26,24970200
2021-05-18,236.31,236.45,233.08,233.25,20168000
2021-05-19,230.16,233.93,229.48,233.83,25739800
2021-05-20,234.63,238.47,234.54,237.06,21800700
2021-05-21,238.11,238.84,235.38,235.8,21863100
2021-05-24,238.32,241.56,238.05,241.19,21411500
2021-05-25,242.15,243.09,241.23,242.1,17704300
2021-05-26,241.82,243.27,241.17,241.88,17771600
2021-05-27,241.57,241.87,239.72,239.78,24426200
2021-05-28,241.41,242.44,240.02,240.14,18270200
2021-06-01,241.63,241.68,237.52,237.94,23213300
2021-06-02,238.65,239.74,236.44,237.85,19406700
2021-06-03,235.85,236.92,233.71,236.32,25307700
2021-06-04,238.29,242.03,238.05,241.2,25281100
2021-06-07,240.42,244.38,240.26,244.11,23079200
2021-06-08,245.41,246.22,242.86,242.92,22455000
2021-06-09,244.11,245.76,243.53,243.9,17937600
2021-06-10,244.57,247.62,243.97,247.41,24563600
2021-06-11,248.13,248.61,246.8,248.03,18999700
2021-06-14,248.04,250.01,246.98,249.96,19150500
2021-06-15,249.84,250.05,247.83,248.48,18038900
2021-06-16,249.48,250.62,244.69,247.54,27220000
2021-06-17,246.28,251.74,246.22,250.93,27565500
2021-06-18,249.71,252.27,248.86,249.51,37202200
2021-06-21,249.89,253.45,248.06,252.59,26696100
2021-06-22,252.68,255.63,252.37,255.36,24694100
2021-06-23,255.82,256.63,254.32,255.13,19518700
2021-06-24,255.99,257.61,255.32,256.5,21446900
2021-06-25,256.05,257.03,254.64,254.89,25611100
2021-06-28,256.02,258.62,255.75,258.45,19590000
2021-06-29,258.59,261.27,257.74,261.03,19937800
2021-06-30,260.34,260.99,259.29,260.55,21656500
2021-07-01,259.3,261.45,259.29,261.22,16725300
2021-07-02,262.39,267.37,262.08,267.04,26458000
2021-07-06,267.4,268.69,263.81,267.05,31565600
2021-07-07,268.72,269.96,266.56,269.23,23260000
2021-07-08,266.32,268.08,264.36,266.82,24618600
2021-07-09,265.18,267.42,264.8,267.32,23916700
2021-07-12,268.49,269.08,266.01,266.72,18931700
2021-07-13,266.91,272.04,266.79,270.24,26120100
2021-07-14,271.56,272.82,269.83,271.71,23113700
2021-07-15,271.22,271.71,269.13,270.29,22604200
2021-07-16,271.29,273.24,268.78,270.02,26186800
2021-07-19,268.27,269.65,263.96,266.42,32935600
2021-07-20,267.4,270.23,265.7,268.64,26259700
2021-07-21,268.24,270.76,266.69,270.64,24364300
2021-07-22,272.99,275.47,272.59,275.2,23384100
2021-07-23,276.39,278.91,275.55,278.6,22768100
2021-07-26,277.95,278.62,275.68,278.0,23176100
2021-07-27,278.37,278.51,272.13,275.59,33604100
2021-07-28,277.94,279.06,272.98,275.28,33566900
2021-07-29,275.3,277.59,275.14,275.55,18168300
2021-07-30,274.27,275.7,273.06,274.02,20944800
2021-08-02,275.41,275.81,272.89,273.93,16267400
2021-08-03,274.51,276.25,273.14,276.14,17879000
2021-08-04,275.28,276.6,273.77,275.56,16191300
2021-08-05,275.91,278.56,275.16,278.45,13900200
2021-08-06,277.48,278.43,276.63,278.4,16589300
2021-08-09,278.67,280.41,276.81,277.31,16117600
2021-08-10,277.76,278.19,274.3,275.49,18616600
2021-08-11,276.23,277.63,274.93,275.98,13955900
2021-08-12,275.67,278.89,275.39,278.73,14561300
2021-08-13,278.41,281.7,278.24,281.66,18249000
2021-08-16,281.98,283.55,278.93,283.34,22507600
2021-08-17,281.21,282.21,279.95,281.88,20075300
2021-08-18,281.41,284.09,279.71,280.15,21813000
2021-08-19,278.19,286.65,278.14,285.97,29850500
2021-08-20,288.82,294.71,287.22,293.29,40817600
2021-08-23,292.22,294.29,290.87,293.57,22830200
2021-08-24,293.92,294.53,291.01,291.61,18175800
2021-08-25,293.23,293.51,289.49,291.02,20006100
2021-08-26,290.04,291.43,288.07,288.21,17666100
2021-08-27,288.11,289.92,286.03,288.82,22605700
2021-08-30,290.16,293.15,290.11,292.54,16348100
2021-08-31,293.34,293.42,290.53,290.9,26285300
2021-09-01,291.85,294.09,290.52,290.85,18983800
2021-09-02,291.2,292.32,289.26,290.19,16285600
2021-09-03,290.04,291.59,289.34,290.18,14747900
2021-09-07,290.06,290.14,287.35,289.26,17180400
2021-09-08,288.87,289.67,286.65,289.29,15046800
2021-09-09,289.88,291.15,286.19,286.43,19927000
2021-09-10,287.56,289.01,284.63,284.95,19633400
2021-09-13,286.72,287.68,283.38,286.18,23652900
2021-09-14,288.66,290.42,287.25,288.88,21853400
2021-09-15,292.23,294.21,290.84,293.73,28356300
2021-09-16,292.71,294.2,289.82,294.12,19550800
2021-09-17,293.1,293.42,288.63,288.96,41372500
2021-09-20,285.55,287.85,278.99,283.59,38278700
2021-09-21,284.93,286.71,283.37,284.07,22364100
2021-09-22,285.93,289.3,283.79,287.72,26626300
2021-09-23,287.98,289.95,286.7,288.66,18604600
2021-09-24,287.38,288.89,286.13,288.46,14999000
2021-09-27,285.37,285.68,282.28,283.47,23571700
2021-09-28,279.26,280.2,272.46,273.2,43186200
2021-09-29,274.73,276.34,272.71,273.67,26353700
2021-09-30,275.31,277.36,271.37,271.66,32343600
2021-10-01,271.86,279.43,271.06,278.58,30086300
2021-10-04,276.94,277.28,270.05,272.81,31350700
2021-10-05,273.72,279.83,273.72,278.25,24993000
2021-10-06,275.38,282.95,275.12,282.45,28002600
2021-10-07,284.44,285.85,283.23,284.12,20430500
2021-10-08,285.44,285.85,283.07,284.12,17685700
2021-10-11,282.26,287.13,282.1,283.52,19298600
2021-10-12,284.59,284.69,281.71,282.22,17974100
2021-10-13,284.18,286.46,282.81,285.53,23416300
2021-10-14,288.32,292.24,286.99,291.73,27262900
2021-10-15,291.34,293.37,289.59,293.14,25384800
2021-10-18,292.53,297.0,291.68,296.11,22729300
2021-10-19,297.13,298.05,296.04,297.02,17682100
2021-10-20,297.96,298.43,294.97,296.23,16537100
2021-10-21,295.99,299.7,295.21,299.45,16918100
2021-10-22,299.11,299.77,296.6,297.91,17449300
2021-10-25,298.1,298.14,295.31,296.92,17554500
2021-10-26,299.68,301.03,297.37,298.83,28107300
2021-10-27,304.5,314.24,304.5,311.41,52588700
2021-10-28,312.53,313.05,309.67,312.55,26297900
2021-10-29,312.34,319.92,312.12,319.55,34766000
2021-11-01,319.3,319.43,314.5,317.39,27073200
2021-11-02,318.29,321.32,317.99,321.01,26487100
2021-11-03,321.75,322.72,318.62,321.85,21500100
2021-11-04,320.78,324.3,317.52,324.2,23992200
2021-11-05,326.19,326.46,322.25,323.83,22570100
2021-11-08,325.03,325.37,322.27,324.73,20897000
2021-11-09,324.84,326.4,322.36,323.73,21307400
2021-11-10,322.4,322.46,317.92,318.76,25500900
2021-11-11,319.2,321.63,318.48,320.34,16849800
2021-11-12,321.77,324.96,321.65,324.47,23831000
2021-11-15,325.26,325.59,321.88,323.84,16723000
2021-11-16,323.47,328.28,323.3,327.16,20886800
2021-11-17,327.21,330.34,326.3,327.38,19053400
2021-11-18,326.47,330.59,325.45,329.46,22463500
2021-11-19,330.78,333.15,330.35,331.23,21963400
2021-11-22,332.69,337.56,327.79,328.06,31031100
2021-11-23,325.38,327.7,322.01,325.99,30427600
2021-11-24,324.64,326.45,322.35,326.21,21661300
2021-11-26,322.77,326.23,316.76,318.27,24217200
2021-11-29,323.34,327.29,323.15,324.98,28563500
