date,open,high,low,close,volume
2021-03-29,306.51,308.0,303.61,306.96,54608000
2021-03-30,304.99,305.98,302.71,305.41,44635700
2021-03-31,307.2,311.65,306.86,310.08,55032500
2021-04-01,313.91,315.51,313.66,315.37,55685600
2021-04-05,317.86,322.43,317.61,321.67,42172500
2021-04-06,321.36,323.4,320.67,321.44,33537200
2021-04-07,320.97,323.06,320.03,322.22,32046400
2021-04-08,325.08,325.77,324.28,325.58,29940800
2021-04-09,324.22,327.76,323.48,327.55,36664900
2021-04-12,326.51,327.54,325.24,327.13,25833000
2021-04-13,328.65,331.41,328.44,330.95,30374000
2021-04-14,331.19,331.31,326.15,326.97,42564300
2021-04-15,329.85,332.32,326.69,331.93,36342800
2021-04-16,332.45,332.53,330.44,332.32,40860100
2021-04-19,330.74,331.9,327.35,329.27,34533100
2021-04-20,328.61,329.9,324.9,326.87,38081800
2021-04-21,325.59,329.86,324.5,329.67,36598100
2021-04-22,329.28,330.27,324.54,325.7,45936100
2021-04-23,326.33,331.11,326.33,329.8,36381900
2021-04-26,330.04,332.23,329.29,331.95,30812000
2021-04-27,332.24,332.45,329.56,330.51,33187200
2021-04-28,330.18,331.19,328.74,329.39,33615700
2021-04-29,332.67,333.08,327.35,330.58,37708900
2021-04-30,328.13,330.61,327.5,328.41,38263400
2021-05-03,329.61,330.36,326.21,326.66,29729700
2021-05-04,324.1,324.43,316.96,320.78,65147000
2021-05-05,322.83,323.7,318.93,319.7,46219300
2021-05-06,319.44,322.27,317.2,322.11,46814300
2021-05-07,324.89,327.11,322.29,324.73,53324500
2021-05-10,323.35,323.52,316.32,316.53,60700500
2021-05-11,310.64,316.89,309.98,316.09,71963600
2021-05-12,311.15,313.47,307.04,307.91,91164900
2021-05-13,310.85,313.26,307.92,310.29,69877800
2021-05-14,313.46,318.05,312.95,317.14,44370000
2021-05-17,315.43,317.12,312.34,315.21,39395000
2021-05-18,316.17,317.39,312.81,313.09,36528500
2021-05-19,307.68,313.75,307.33,313.45,66319100
2021-05-20,314.93,320.36,314.71,319.51,46466100
2021-05-21,321.06,321.48,317.38,317.74,50330400
2021-05-24,320.03,324.21,317.63,323.08,32475800
2021-05-25,324.6,325.32,322.36,323.53,31280300
2021-05-26,324.2,325.13,323.51,324.66,25444900
2021-05-27,324.21,325.06,323.24,323.44,27931700
2021-05-28,324.65,326.06,324.14,324.46,29927400
2021-06-01,325.8,326.27,322.04,323.39,31145400
2021-06-02,323.8,324.86,322.3,324.02,22047900
2021-06-03,321.18,322.45,318.97,320.65,37057800
2021-06-04,322.44,326.53,322.38,326.09,38736500
2021-06-07,325.55,327.12,324.86,327.06,32611900
2021-06-08,328.81,329.67,325.53,327.21,27282800
2021-06-09,328.58,329.36,327.11,327.29,21485300
2021-06-10,327.63,330.81,327.19,330.7,33702100
2021-06-11,330.71,331.58,330.06,331.57,21222800
2021-06-14,331.99,334.75,330.81,334.74,27827700
2021-06-15,334.39,334.71,331.84,332.56,35963800
2021-06-16,333.02,334.09,327.88,331.34,55399500
2021-06-17,330.33,336.56,330.28,335.55,59722700
2021-06-18,333.89,335.04,332.17,332.92,55414900
2021-06-21,333.11,335.31,330.89,334.99,32992600
2021-06-22,334.78,338.56,334.48,338.11,28941600
2021-06-23,338.05,339.42,337.44,338.27,27188500
2021-06-24,340.21,341.89,339.67,340.37,32581600
2021-06-25,340.93,341.17,339.34,339.95,28682800
2021-06-28,341.23,344.22,341.17,344.08,39130300
2021-06-29,343.91,345.36,343.07,345.33,29426000
2021-06-30,345.17,345.56,344.2,344.78,32724000
2021-07-01,344.43,345.42,343.08,344.92,29290000
2021-07-02,346.82,349.2,346.58,348.88,32727200
2021-07-06,349.48,350.67,346.79,350.39,38842400
2021-07-07,352.58,352.89,349.17,351.13,35265200
2021-07-08,346.06,349.86,344.77,349.0,50890000
2021-07-09,348.42,351.66,347.84,351.18,35184500
2021-07-12,352.58,353.01,351.01,352.56,25717700
2021-07-13,352.18,355.52,351.7,352.56,39723000
2021-07-14,354.9,355.54,352.36,353.19,35336400
2021-07-15,353.1,353.3,348.7,350.71,53391600
2021-07-16,351.56,352.55,347.52,347.87,47262000
2021-07-19,344.41,345.51,342.46,345.02,64404600
2021-07-20,345.95,350.47,344.17,349.02,42183700
2021-07-21,348.6,351.72,348.37,351.72,30259900
2021-07-22,351.92,354.05,351.92,354.04,30252200
2021-07-23,355.37,358.46,354.01,358.18,31960800
2021-07-26,357.49,358.85,356.62,358.46,28438100
2021-07-27,358.2,358.2,350.36,354.51,57933100
2021-07-28,355.65,357.45,353.35,355.87,42066200
2021-07-29,355.31,357.67,355.31,356.5,25672500
2021-07-30,352.57,355.23,352.55,354.65,36484600
2021-08-02,356.31,356.89,353.97,354.68,27334100
2021-08-03,355.34,356.94,352.15,356.83,35558500
2021-08-04,356.79,358.29,355.68,357.34,29602200
2021-08-05,358.16,359.84,357.45,359.61,21443900
2021-08-06,358.34,359.32,356.92,358.03,33332100
2021-08-09,358.49,359.22,357.39,358.69,25960200
2021-08-10,359.21,359.5,355.67,356.85,35130800
2021-08-11,358.12,358.62,354.91,356.24,34249800
2021-08-12,355.74,357.89,354.38,357.53,25969200
2021-08-13,357.88,359.11,357.38,358.78,19336200
2021-08-16,357.66,358.98,353.8,358.94,34856900
2021-08-17,356.18,357.16,353.34,355.78,44793900
2021-08-18,355.24,356.64,352.02,352.35,38541900
2021-08-19,350.42,355.73,350.16,354.05,48499400
2021-08-20,355.12,358.12,354.81,357.72,39486000
2021-08-23,358.76,363.76,358.75,363.07,34034700
2021-08-24,363.66,364.78,363.2,364.18,21732900
2021-08-25,364.43,365.17,363.68,364.6,20441900
2021-08-26,363.74,364.42,361.85,362.28,29133300
2021-08-27,362.92,366.31,362.43,365.8,27104700
2021-08-30,366.59,370.4,366.57,369.91,27295700
2021-08-31,370.15,370.22,368.06,369.61,29628200
2021-09-01,370.67,372.29,370.02,370.22,28138300
2021-09-02,371.57,371.9,368.83,370.05,25453400
2021-09-03,368.9,371.58,368.88,371.18,24605400
2021-09-07,371.29,372.36,370.13,371.71,23970200
2021-09-08,371.53,371.53,368.15,370.42,32949200
2021-09-09,370.64,371.75,368.9,369.14,29399000
2021-09-10,370.85,371.57,366.01,366.34,40249400
2021-09-13,368.67,369.1,364.03,366.09,48741800
2021-09-14,367.57,368.3,364.09,365.05,41826600
2021-09-15,365.5,368.11,363.21,367.76,34097900
2021-09-16,366.43,368.59,364.5,368.01,35193100
2021-09-17,367.54,367.58,362.61,363.65,60912300
2021-09-20,357.85,359.6,351.5,356.14,76203200
2021-09-21,357.97,359.17,355.45,356.58,41927500
2021-09-22,357.49,361.37,356.39,359.91,46972900
2021-09-23,361.07,364.26,360.43,363.23,44652000
2021-09-24,360.96,363.99,360.59,363.57,36056800
2021-09-27,360.52,361.55,358.12,360.67,43338100
2021-09-28,356.11,360.62,349.96,350.46,97701600
2021-09-29,351.73,353.87,349.26,349.89,58076600
2021-09-30,351.53,353.2,347.77,348.6,61384600
2021-10-01,349.23,351.81,345.12,350.76,56375500
2021-10-04,349.15,349.48,341.16,343.4,76766000
2021-10-05,344.46,350.29,344.24,348.04,47232900
2021-10-06,344.82,350.54,343.92,350.27,56806500
2021-10-07,353.32,356.13,352.78,353.48,39411200
2021-10-08,354.56,354.8,351.18,351.72,41822300
2021-10-11,350.18,353.71,348.93,349.02,34847200
2021-10-12,350.47,350.91,347.16,347.8,43905100
2021-10-13,350.11,351.26,348.09,350.59,40120800
2021-10-14,354.18,357.26,353.52,357.05,43433900
2021-10-15,358.26,359.41,357.23,359.3,40419900
2021-10-18,358.0,363.12,357.4,362.91,34513500
2021-10-19,363.98,365.7,362.96,365.66,29091000
2021-10-20,366.11,366.73,363.7,365.18,31390300
2021-10-21,364.38,367.6,364.08,367.41,25469300
2021-10-22,366.15,367.12,362.66,364.32,36275800
2021-10-25,365.74,368.97,363.79,368.05,32597800
2021-10-26,370.29,372.71,368.03,369.21,47191300
2021-10-27,369.66,373.13,369.39,370.07,45760500
2021-10-28,371.97,374.43,371.2,374.18,38007000
2021-10-29,371.1,376.18,370.75,376.02,37310100
2021-11-01,376.46,377.43,374.37,377.3,30765300
2021-11-02,376.69,379.36,376.64,378.88,25135300
2021-11-03,379.37,383.32,378.32,382.9,33748900
2021-11-04,384.17,388.76,383.62,387.81,40265300
2021-11-05,389.58,390.51,386.78,388.18,43383800
2021-11-08,388.15,389.17,387.01,387.65,29256300
2021-11-09,388.73,389.13,383.62,384.99,50490700
2021-11-10,382.21,385.02,377.4,379.33,54937400
2021-11-11,382.31,382.48,380.04,380.38,32243000
2021-11-12,381.53,384.92,379.93,384.38,34730600
2021-11-15,385.56,385.88,381.85,384.29,33716900
2021-11-16,383.56,387.53,383.37,387.03,27872900
2021-11-17,387.35,389.27,386.27,387.24,28703300
2021-11-18,389.28,391.75,387.06,391.25,45721500
2021-11-19,392.88,394.71,392.06,393.43,45191700
2021-11-22,394.97,398.03,388.75,388.86,61715400
2021-11-23,387.7,389.77,382.65,387.09,70098700
2021-11-24,384.61,388.62,382.28,388.34,46954400
2021-11-26,385.76,387.15,379.58,380.97,51533300
2021-11-29,385.54,390.25,384.81,389.24,54447100
2021-11-30,388.36,390.7,381.51,383.53,81332700
2021-12-01,387.87,390.01,376.53,377.0,77766500
2021-12-02,375.71,381.5,374.29,379.72,84416600
2021-12-03,381.08,382.08,369.0,373.11,105349100
2021-12-06,373.6,377.47,369.38,376.1,67588800
2021-12-07,382.76,388.04,382.72,387.43,56005300
2021-12-08,387.76,389.37,385.86,389.16,39204000
2021-12-09,387.94,389.74,383.24,383.44,49973700
2021-12-10,386.25,387.87,383.08,387.61,52545800
2021-12-13,387.6,387.92,381.64,382.01,50166400
2021-12-14,377.18,379.89,373.6,378.05,75199200
2021-12-15,377.8,387.03,373.85,386.67,73858000
2021-12-16,387.64,388.06,375.14,376.73,82591400
2021-12-17,373.31,379.02,371.79,374.85,80492500
2021-12-20,370.12,372.0,368.07,371.21,65336800
2021-12-21,374.49,379.83,370.73,379.52,48899500
2021-12-22,379.23,384.35,378.56,384.14,37042200
2021-12-23,384.49,388.51,384.33,387.04,29595500
2021-12-27,388.33,393.43,388.31,393.43,32820700
2021-12-28,394.33,394.51,390.73,391.61,33113700
2021-12-29,391.75,393.02,389.17,391.55,32248500
2021-12-30,391.34,393.52,389.8,390.38,23850100
2021-12-31,389.71,391.07,387.45,387.94,34752900
2022-01-03,389.11,391.93,387.0,391.68,40575900
2022-01-04,392.23,392.26,383.5,386.6,58027200
2022-01-05,384.91,386.03,374.47,374.72,75739800
2022-01-06,372.9,377.71,370.67,374.46,70814300
2022-01-07,374.47,376.16,368.63,370.4,72652300
2022-01-10,365.49,371.16,360.12,370.65,91770500
2022-01-11,369.92,376.38,367.83,376.21,68295700
2022-01-12,378.79,380.49,375.42,377.71,54576400
2022-01-13,379.09,379.77,367.32,368.26,77994000
2022-01-14,365.73,370.88,365.53,370.55,80121200
2022-01-18,364.73,366.85,360.56,361.32,75450900
2022-01-19,362.88,365.36,357.09,357.36,81791500
2022-01-20,360.58,364.56,352.18,352.71,88610700
2022-01-21,350.52,353.16,342.65,342.93,143388900
2022-01-24,337.3,345.17,325.83,344.5,198685800
2022-01-25,338.04,342.29,333.17,336.52,124398400
2022-01-26,344.12,347.99,332.3,335.99,146559500
2022-01-27,340.7,342.52,331.58,332.61,95255700
2022-01-28,334.49,343.26,329.54,343.04,108167900
2022-01-31,344.41,354.6,342.77,354.01,94326400
2022-02-01,355.36,357.07,350.2,356.42,74433000
2022-02-02,360.55,360.89,355.22,359.32,78777100
2022-02-03,349.6,352.92,343.68,344.75,95384800
2022-02-04,345.26,352.4,343.21,349.1,86318300
2022-02-07,349.69,352.06,345.03,346.29,58198100
2022-02-08,345.15,351.27,344.02,350.18,64720900
2022-02-09,354.7,357.68,353.1,357.6,55766400
2022-02-10,350.57,357.37,347.66,349.51,112468500
2022-02-11,349.51,351.11,337.19,338.42,101569100
2022-02-14,337.86,342.24,335.33,338.84,80254400
2022-02-15,344.12,347.5,343.06,347.26,55128800
2022-02-16,345.01,348.2,341.98,347.18,58947100
2022-02-17,343.96,344.66,336.43,336.85,61801400
2022-02-18,337.79,338.18,330.7,333.01,80001500
2022-02-22,330.06,335.47,326.03,329.66,85967100
2022-02-23,332.82,333.66,320.91,321.22,86215400
2022-02-24,310.9,332.55,310.34,332.01,130614100
2022-02-25,332.81,337.37,328.99,337.16,78842100
2022-02-28,333.98,339.86,332.82,338.17,77515500
2022-03-01,337.14,339.41,330.46,332.99,67407000
2022-03-02,334.54,339.91,331.77,338.58,70609000
2022-03-03,341.22,341.33,331.88,333.74,71089400
2022-03-04,331.38,332.81,326.58,328.9,76936300
2022-03-07,328.89,330.05,316.57,316.77,89933800
2022-03-08,315.98,324.91,311.97,315.3,116153900
2022-03-09,323.49,328.01,320.9,326.65,64723400
2022-03-10,322.58,324.23,318.58,323.02,69362700
2022-03-11,326.0,326.31,315.84,316.32,66228400
2022-03-14,315.09,318.46,309.55,310.25,79802600
2022-03-15,312.89,320.76,311.28,319.98,76471000
2022-03-16,323.9,331.96,320.22,331.85,105243000
2022-03-17,329.95,335.92,328.65,335.86,67810000
2022-03-18,334.21,343.03,333.05,342.74,85446300
2022-03-21,341.9,344.13,337.39,341.79,73799100
2022-03-22,342.28,349.37,341.9,348.5,63345900
2022-03-23,345.62,349.19,343.44,343.49,70615500
2022-03-24,345.42,351.18,343.26,351.13,53555300
2022-03-25,351.07,352.13,346.53,350.84,57584200
2022-03-28,350.83,356.36,349.59,356.26,56833900
2022-03-29,360.16,363.02,357.39,362.4,68073000
2022-03-30,360.53,362.19,356.91,358.39,68757700
2022-03-31,358.54,358.89,353.11,353.95,67011400
2022-04-01,354.21,355.0,350.09,353.28,54527800
2022-04-04,354.12,360.56,353.85,360.55,45950200
2022-04-05,359.1,359.81,351.4,352.55,62738700
2022-04-06,347.22,348.33,342.25,344.89,90077100
2022-04-07,343.9,347.91,340.43,345.71,63777400
2022-04-08,343.97,344.72,340.24,340.88,61956100
2022-04-11,336.64,337.56,332.47,332.81,66107400
2022-04-12,337.57,339.45,330.03,331.41,72790200
2022-04-13,331.75,339.2,331.03,338.14,61367800
2022-04-14,338.23,338.75,330.2,330.41,73519400
2022-04-18,329.36,332.96,327.83,330.67,58560600
2022-04-19,330.02,338.63,329.0,338.06,56515700
2022-04-20,338.87,339.33,331.91,333.13,65500000
2022-04-21,337.01,339.63,325.31,326.23,75801000
2022-04-22,326.39,327.61,317.26,317.69,82562100
2022-04-25,316.06,322.08,314.79,321.77,101755900
2022-04-26,319.71,319.9,309.35,309.63,105819600
2022-04-27,309.72,315.23,307.54,309.26,111204200
2022-04-28,314.23,322.07,310.0,320.24,99450000
2022-04-29,316.03,319.48,305.19,305.83,91977900
2022-05-02,305.42,311.17,302.31,310.93,115511800
2022-05-03,310.95,313.56,308.49,311.27,78185500
2022-05-04,311.75,322.47,306.45,321.79,116083400
2022-05-05,317.47,317.54,302.28,305.58,154607400
2022-05-06,303.58,307.63,297.88,301.92,139572800
2022-05-09,296.29,302.02,288.71,290.11,113387300
2022-05-10,297.3,298.52,289.54,293.63,124124600
2022-05-11,291.37,296.89,284.06,284.93,140326100
2022-05-12,280.64,288.74,278.19,284.25,120910900
2022-05-13,288.71,295.82,287.11,294.79,83684900
2022-05-16,293.04,295.1,290.09,291.37,59190400
2022-05-17,297.24,299.3,293.43,298.92,62715300
2022-05-18,294.4,295.09,282.98,284.24,79477100
2022-05-19,282.44,287.42,280.77,282.72,79920700
2022-05-20,286.19,286.84,273.57,281.84,91764200
2022-05-23,282.89,286.91,280.48,286.53,63648400
2022-05-24,281.3,282.02,275.56,280.43,73491100
2022-05-25,278.94,286.44,278.74,284.36,67144500
2022-05-26,283.56,293.79,283.28,292.24,59462200
2022-05-27,295.37,301.92,295.26,301.78,66985600
2022-05-31,301.75,303.95,297.12,300.98,60968300
2022-06-01,303.11,305.24,296.53,298.75,65341700
2022-06-02,297.63,307.11,296.21,306.93,59291300
2022-06-03,301.71,303.11,297.7,298.95,60914700
2022-06-06,303.39,304.95,298.38,299.94,51785000
2022-06-07,296.61,303.31,295.52,302.53,44900300
2022-06-08,301.73,304.33,299.5,300.35,38342100
2022-06-09,298.66,301.73,292.14,292.31,55900500
2022-06-10,286.69,287.88,281.55,282.0,85963500
2022-06-13,273.12,275.65,268.03,268.89,94442000
2022-06-14,271.08,272.06,266.86,269.37,64697500
2022-06-15,272.8,280.03,270.06,276.1,86051400
2022-06-16,269.06,269.52,262.9,264.96,81910300
2022-06-17,265.73,270.62,264.1,268.18,82703400
2022-06-21,272.67,277.27,272.56,274.95,51633700
2022-06-22,272.44,278.96,271.85,274.55,67472900
2022-06-23,277.03,279.49,274.2,278.64,57457800
2022-06-24,281.46,288.6,281.23,288.18,58422300
2022-06-27,289.54,290.11,284.94,286.07,54151500
2022-06-28,286.61,289.2,277.17,277.35,61609800
2022-06-29,277.22,279.12,274.71,277.61,57302700
2022-06-30,274.63,277.75,269.76,274.17,79313600
2022-07-01,272.86,276.37,270.99,275.98,56675100
2022-07-05,272.24,280.82,270.71,280.7,61829300
2022-07-06,281.08,284.6,279.36,282.5,63194700
2022-07-07,283.31,289.25,283.31,288.55,56620100
2022-07-08,285.71,290.28,284.77,288.91,59895500
2022-07-11,286.49,286.72,281.85,282.73,55273900
2022-07-12,283.99,285.9,278.4,280.0,55797100
2022-07-13,274.48,281.77,273.91,279.42,73939400
