date,open,high,low,close,volume
2021-03-29,369.37,371.57,367.88,370.66,108107600
2021-03-30,369.39,370.35,368.08,369.68,76262200
2021-03-31,370.25,372.74,370.22,371.18,112734200
2021-04-01,373.12,375.24,372.91,375.18,99682900
2021-04-05,377.85,381.11,377.78,380.57,91684800
2021-04-06,380.01,381.39,379.67,380.35,62021000
2021-04-07,380.18,381.13,379.72,380.79,55836300
2021-04-08,382.04,382.65,381.1,382.59,57863100
2021-04-09,382.47,385.54,382.35,385.37,61104600
2021-04-12,384.77,385.79,384.17,385.51,56704900
2021-04-13,385.41,387.28,385.03,386.66,56551000
2021-04-14,386.63,387.69,384.79,385.34,61659900
2021-04-15,387.48,389.75,387.43,389.48,60229800
2021-04-16,390.77,391.39,389.35,390.78,82037300
2021-04-19,389.84,390.29,387.53,388.86,78498500
2021-04-20,387.64,388.75,384.53,386.01,81851800
2021-04-21,385.39,389.87,385.25,389.66,66793000
2021-04-22,389.5,390.33,385.04,386.1,97582800
2021-04-23,386.67,391.71,386.59,390.29,73209200
2021-04-26,390.95,391.68,390.36,391.11,52182400
2021-04-27,391.41,391.6,389.88,391.02,51303100
2021-04-28,391.29,392.42,390.44,390.91,51238900
2021-04-29,393.64,394.02,390.01,393.4,78544300
2021-04-30,391.12,391.98,389.92,390.82,85527000
2021-05-03,392.81,393.19,391.16,391.66,68128300
2021-05-04,389.66,390.16,385.54,389.24,101591200
2021-05-05,390.89,391.12,388.8,389.36,60162200
2021-05-06,389.44,392.6,387.43,392.47,74321400
2021-05-07,393.24,395.99,392.56,395.33,67733800
2021-05-10,395.69,395.91,391.29,391.41,81852400
2021-05-11,386.88,388.91,384.04,387.92,116888000
2021-05-12,385.13,386.4,378.36,379.68,134811000
2021-05-13,381.23,386.18,381.19,384.24,106394000
2021-05-14,386.99,390.99,386.96,390.14,82201600
2021-05-17,389.03,389.96,387.13,389.15,65129200
2021-05-18,389.41,389.65,385.64,385.8,59810200
2021-05-19,381.09,384.96,379.61,384.78,106467100
2021-05-20,385.66,390.19,385.54,388.92,78022200
2021-05-21,390.41,391.66,388.15,388.61,76578700
2021-05-24,390.85,393.64,390.61,392.57,51376700
2021-05-25,393.65,394.01,391.12,391.7,57451400
2021-05-26,392.29,392.98,391.25,392.47,43088600
2021-05-27,393.5,394.02,392.4,392.68,56707700
2021-05-28,394.25,394.51,393.15,393.38,58520200
2021-06-01,395.75,395.89,392.59,393.04,54216600
2021-06-02,393.69,394.5,392.68,393.65,49097100
2021-06-03,391.33,393.33,389.86,392.19,58138800
2021-06-04,394.05,396.08,392.26,395.78,55938800
2021-06-07,395.77,395.95,394.46,395.4,51555000
2021-06-08,396.26,396.35,393.64,395.48,47134300
2021-06-09,396.32,396.4,394.66,394.89,48436300
2021-06-10,396.12,397.68,394.8,396.73,51020100
2021-06-11,397.28,397.49,395.99,397.38,45570800
2021-06-14,397.49,398.37,396.25,398.27,42358500
2021-06-15,398.42,398.46,396.66,397.54,51508500
2021-06-16,397.68,397.91,393.27,395.32,80386100
2021-06-17,394.91,396.17,392.71,395.19,90949700
2021-06-18,391.9,392.59,389.65,389.86,118676300
2021-06-21,391.62,395.63,390.81,395.44,72822000
2021-06-22,395.43,398.39,394.71,397.55,57700300
2021-06-23,397.63,398.44,396.99,397.07,49445400
2021-06-24,399.23,399.85,398.97,399.42,45110300
2021-06-25,400.17,401.29,399.85,400.84,58129500
2021-06-28,401.37,401.82,400.17,401.65,53159600
2021-06-29,402.04,402.67,401.33,401.87,35970500
2021-06-30,401.41,402.88,401.38,402.2,64827900
2021-07-01,402.97,404.59,402.9,404.43,53441000
2021-07-02,405.6,407.88,404.52,407.52,57697700
2021-07-06,407.58,407.79,404.04,406.78,68710400
2021-07-07,407.47,408.5,405.45,408.22,63549500
2021-07-08,402.88,405.65,401.7,404.89,97595200
2021-07-09,406.4,409.51,404.69,409.21,76238600
2021-07-12,409.13,410.93,408.7,410.68,52889600
2021-07-13,409.89,411.39,409.02,409.28,52911300
2021-07-14,410.98,411.47,408.64,409.89,64130400
2021-07-15,408.55,409.22,406.58,408.49,55126400
2021-07-16,409.67,409.72,404.89,405.29,75874700
2021-07-19,400.45,405.35,396.48,399.3,147987000
2021-07-20,399.97,406.3,399.17,405.02,99608200
2021-07-21,406.23,408.44,404.98,408.3,64724400
2021-07-22,408.48,409.4,407.49,409.16,47878500
2021-07-23,411.09,413.7,410.41,413.37,63766600
2021-07-26,412.77,414.39,412.73,414.38,43719200
2021-07-27,413.34,413.37,409.66,412.49,67397100
2021-07-28,413.12,413.7,410.9,412.32,52472400
2021-07-29,413.25,415.11,413.24,414.03,47435300
2021-07-30,411.46,413.48,411.33,412.02,68951200
2021-08-02,413.74,414.3,410.8,411.16,58783300
2021-08-03,411.96,414.63,409.76,414.5,58053900
2021-08-04,413.22,414.48,412.23,412.46,46732200
2021-08-05,413.63,415.16,413.31,415.08,38969700
2021-08-06,415.4,416.19,415.11,415.76,46930000
2021-08-09,415.73,416.05,414.65,415.42,41222600
2021-08-10,415.88,416.66,415.19,415.94,43339300
2021-08-11,417.01,417.07,415.88,416.97,44034300
2021-08-12,416.82,418.37,415.92,418.22,38909400
2021-08-13,418.68,419.0,418.19,418.99,39470300
2021-08-16,417.68,420.1,416.12,419.97,73740000
2021-08-17,417.41,418.08,414.22,417.22,92673900
2021-08-18,416.2,417.77,412.41,412.65,89351900
2021-08-19,409.92,414.49,409.78,413.29,92812200
2021-08-20,413.64,416.91,413.15,416.58,72008700
2021-08-23,418.27,421.16,416.66,420.24,54973000
2021-08-24,420.91,421.45,420.39,420.91,38744700
2021-08-25,421.1,422.31,420.72,421.79,40529700
2021-08-26,421.51,421.75,419.21,419.3,57829600
2021-08-27,420.11,423.43,420.06,423.05,77235100
2021-08-30,423.73,425.7,423.49,424.91,48357400
2021-08-31,424.82,425.16,423.68,424.28,59300200
2021-09-01,425.22,425.74,424.28,424.51,48721400
2021-09-02,425.94,426.62,424.61,425.82,42501000
2021-09-03,424.68,426.23,424.28,425.71,47170500
2021-09-07,425.37,425.46,423.51,424.19,51671500
2021-09-08,423.66,424.39,421.75,423.67,56181900
2021-09-09,423.48,425.23,421.62,421.86,57970400
2021-09-10,423.8,424.22,418.41,418.53,89948200
2021-09-13,421.54,421.8,417.28,419.61,83738600
2021-09-14,421.05,421.26,416.45,417.34,78197100
2021-09-15,417.76,421.33,416.66,420.83,78792200
2021-09-16,420.3,421.28,417.2,420.16,77786700
2021-09-17,419.39,419.81,415.71,416.07,118425000
2021-09-20,409.92,411.5,404.25,409.13,166445500
2021-09-21,411.48,412.78,408.22,408.74,92526100
2021-09-22,411.02,414.78,408.86,412.73,102350100
2021-09-23,414.61,419.36,414.37,417.74,76396000
2021-09-24,416.1,419.15,415.89,418.43,62094800
2021-09-27,417.4,418.57,416.54,417.24,61371100
2021-09-28,414.46,414.79,408.09,408.83,130436300
2021-09-29,410.21,411.96,408.95,409.52,82329200
2021-09-30,411.0,411.7,404.17,404.51,140506000
2021-10-01,406.25,411.01,402.71,409.32,129240100
2021-10-04,408.15,409.05,401.89,404.04,128570000
2021-10-05,405.55,410.5,404.75,408.24,90682500
2021-10-06,404.63,410.15,403.0,409.94,113032200
2021-10-07,413.23,416.33,413.05,413.48,72437500
2021-10-08,414.26,414.64,412.1,412.73,74557400
2021-10-11,412.07,414.99,409.68,409.74,65233300
2021-10-12,410.67,411.07,407.94,408.73,71181200
2021-10-13,409.76,411.02,406.77,410.2,72974000
2021-10-14,413.88,417.25,413.41,417.1,70236800
2021-10-15,419.22,420.65,418.6,420.28,66260200
2021-10-18,418.49,421.86,417.83,421.52,62213200
2021-10-19,423.16,424.84,422.54,424.78,46996800
2021-10-20,425.24,426.75,425.13,426.45,49571600
2021-10-21,425.84,427.78,425.41,427.56,41305400
2021-10-22,427.12,428.58,425.16,427.11,58845100
2021-10-25,428.21,429.73,426.43,429.4,45214500
2021-10-26,430.96,432.18,429.41,429.79,56075100
2021-10-27,430.25,430.92,427.81,427.89,72438000
2021-10-28,429.32,432.09,429.31,432.02,51437900
2021-10-29,429.71,433.18,429.41,432.89,70162400
2021-11-01,433.88,434.26,431.9,433.64,48433600
2021-11-02,433.81,435.7,433.67,435.39,48908400
2021-11-03,434.83,438.45,434.38,438.05,52509800
2021-11-04,438.65,440.2,438.3,440.11,52847100
2021-11-05,442.35,443.64,440.12,441.64,66390600
2021-11-08,442.74,443.24,441.33,442.02,50405200
2021-11-09,442.38,442.62,439.14,440.56,51149100
2021-11-10,438.86,440.56,435.52,437.01,69429700
2021-11-11,438.51,438.59,437.13,437.15,34848500
2021-11-12,438.43,441.01,437.47,440.45,53466700
2021-11-15,441.74,441.9,439.47,440.6,46980500
2021-11-16,440.34,443.49,440.26,442.35,48857500
2021-11-17,442.08,442.26,440.65,441.27,47858300
2021-11-18,442.31,443.04,439.58,442.77,50625600
2021-11-19,442.66,443.91,441.61,441.98,57315600
2021-11-22,443.86,446.36,440.53,440.74,72762000
2021-11-23,440.41,442.18,437.79,441.32,73206500
2021-11-24,439.31,442.62,438.49,442.5,61858800
2021-11-26,435.81,437.28,431.5,432.63,112669600
2021-11-29,437.44,439.78,435.23,437.94,86268800
2021-11-30,435.48,437.4,429.17,429.41,148559600
2021-12-01,435.15,438.0,424.45,424.64,131939200
2021-12-02,424.86,432.72,424.47,431.15,127637800
2021-12-03,432.82,433.88,423.16,427.4,137331600
2021-12-06,429.95,434.34,427.53,432.46,98977500
2021-12-07,437.76,441.97,432.33,441.4,95484700
2021-12-08,441.8,443.03,440.04,442.57,72238800
2021-12-09,441.28,442.68,439.39,439.59,61272600
